selection_rank,source_family_id,annotator_slot,assignment_status
141,doi:10.1101/gad.301549.117,A,unassigned
141,doi:10.1101/gad.301549.117,B,unassigned
142,doi:10.1113/jp272927,A,unassigned
142,doi:10.1113/jp272927,B,unassigned
143,doi:10.1128/mbio.01111-13,A,unassigned
143,doi:10.1128/mbio.01111-13,B,unassigned
144,doi:10.1161/atvbaha.123.320300,A,unassigned
144,doi:10.1161/atvbaha.123.320300,B,unassigned
145,doi:10.1186/s13023-025-03784-3,A,unassigned
145,doi:10.1186/s13023-025-03784-3,B,unassigned
146,doi:10.1186/s13287-019-1374-y,A,unassigned
146,doi:10.1186/s13287-019-1374-y,B,unassigned
147,doi:10.1371/journal.pone.0045237,A,unassigned
147,doi:10.1371/journal.pone.0045237,B,unassigned
148,doi:10.1371/journal.pone.0058859,A,unassigned
148,doi:10.1371/journal.pone.0058859,B,unassigned
149,doi:10.1371/journal.pone.0063794,A,unassigned
149,doi:10.1371/journal.pone.0063794,B,unassigned
150,doi:10.1371/journal.pone.0079919,A,unassigned
150,doi:10.1371/journal.pone.0079919,B,unassigned
151,doi:10.1371/journal.pone.0080677,A,unassigned
151,doi:10.1371/journal.pone.0080677,B,unassigned
152,doi:10.1371/journal.pone.0133392,A,unassigned
152,doi:10.1371/journal.pone.0133392,B,unassigned
153,doi:10.26508/lsa.202503599,A,unassigned
153,doi:10.26508/lsa.202503599,B,unassigned
154,doi:10.3389/fphys.2019.00224,A,unassigned
154,doi:10.3389/fphys.2019.00224,B,unassigned
155,doi:10.3390/cells14141088,A,unassigned
155,doi:10.3390/cells14141088,B,unassigned
156,doi:10.3390/toxins5050926,A,unassigned
156,doi:10.3390/toxins5050926,B,unassigned
157,doi:10.1002/advs.202524337,A,unassigned
157,doi:10.1002/advs.202524337,B,unassigned
158,doi:10.1002/smll.202504526,A,unassigned
158,doi:10.1002/smll.202504526,B,unassigned
159,doi:10.1007/s00438-026-02371-w,A,unassigned
159,doi:10.1007/s00438-026-02371-w,B,unassigned
160,doi:10.1016/j.jcmgh.2019.02.003,A,unassigned
160,doi:10.1016/j.jcmgh.2019.02.003,B,unassigned
161,doi:10.1038/bjc.2012.395,A,unassigned
161,doi:10.1038/bjc.2012.395,B,unassigned
162,doi:10.1038/ncomms9574,A,unassigned
162,doi:10.1038/ncomms9574,B,unassigned
163,doi:10.1038/s41467-019-12103-x,A,unassigned
163,doi:10.1038/s41467-019-12103-x,B,unassigned
164,doi:10.1038/s41531-019-0101-9,A,unassigned
164,doi:10.1038/s41531-019-0101-9,B,unassigned
165,doi:10.1038/s41598-019-51665-0,A,unassigned
165,doi:10.1038/s41598-019-51665-0,B,unassigned
166,doi:10.1038/s41598-021-85828-9,A,unassigned
166,doi:10.1038/s41598-021-85828-9,B,unassigned
167,doi:10.1038/s41598-026-35900-z,A,unassigned
167,doi:10.1038/s41598-026-35900-z,B,unassigned
168,doi:10.1038/srep00575,A,unassigned
168,doi:10.1038/srep00575,B,unassigned
169,doi:10.1038/srep15623,A,unassigned
169,doi:10.1038/srep15623,B,unassigned
170,doi:10.1038/srep32418,A,unassigned
170,doi:10.1038/srep32418,B,unassigned
171,doi:10.1186/s12967-025-07630-9,A,unassigned
171,doi:10.1186/s12967-025-07630-9,B,unassigned
172,doi:10.1186/s13395-015-0030-1,A,unassigned
172,doi:10.1186/s13395-015-0030-1,B,unassigned
173,doi:10.1186/s40478-017-0476-y,A,unassigned
173,doi:10.1186/s40478-017-0476-y,B,unassigned
174,doi:10.1186/s40478-019-0735-1,A,unassigned
174,doi:10.1186/s40478-019-0735-1,B,unassigned
175,doi:10.1186/scrt310,A,unassigned
175,doi:10.1186/scrt310,B,unassigned
176,doi:10.1371/journal.pone.0037695,A,unassigned
176,doi:10.1371/journal.pone.0037695,B,unassigned
177,doi:10.1371/journal.pone.0052530,A,unassigned
177,doi:10.1371/journal.pone.0052530,B,unassigned
178,doi:10.1371/journal.pone.0075997,A,unassigned
178,doi:10.1371/journal.pone.0075997,B,unassigned
179,doi:10.3389/fonc.2026.1817872,A,unassigned
179,doi:10.3389/fonc.2026.1817872,B,unassigned
180,doi:10.3389/fpls.2021.737690,A,unassigned
180,doi:10.3389/fpls.2021.737690,B,unassigned
181,doi:10.3390/ijms27073259,A,unassigned
181,doi:10.3390/ijms27073259,B,unassigned
182,doi:10.3390/mi7100186,A,unassigned
182,doi:10.3390/mi7100186,B,unassigned
183,doi:10.1002/advs.202413443,A,unassigned
183,doi:10.1002/advs.202413443,B,unassigned
184,doi:10.1002/advs.202507160,A,unassigned
184,doi:10.1002/advs.202507160,B,unassigned
185,doi:10.1002/advs.202516423,A,unassigned
185,doi:10.1002/advs.202516423,B,unassigned
186,doi:10.1007/s10558-009-9089-9,A,unassigned
186,doi:10.1007/s10558-009-9089-9,B,unassigned
187,doi:10.1016/j.isci.2020.100907,A,unassigned
187,doi:10.1016/j.isci.2020.100907,B,unassigned
188,doi:10.1016/j.mtbio.2026.102883,A,unassigned
188,doi:10.1016/j.mtbio.2026.102883,B,unassigned
189,doi:10.1016/j.mtbio.2026.102985,A,unassigned
189,doi:10.1016/j.mtbio.2026.102985,B,unassigned
190,doi:10.1021/acsnano.8b06998,A,unassigned
190,doi:10.1021/acsnano.8b06998,B,unassigned
191,doi:10.1038/ncb2756,A,unassigned
191,doi:10.1038/ncb2756,B,unassigned
192,doi:10.1038/nm.4082,A,unassigned
192,doi:10.1038/nm.4082,B,unassigned
193,doi:10.1038/nn.4394,A,unassigned
193,doi:10.1038/nn.4394,B,unassigned
194,doi:10.1038/s41467-025-62270-3,A,unassigned
194,doi:10.1038/s41467-025-62270-3,B,unassigned
195,doi:10.1038/s41556-025-01773-z,A,unassigned
195,doi:10.1038/s41556-025-01773-z,B,unassigned
196,doi:10.1038/s41563-025-02463-9,A,unassigned
196,doi:10.1038/s41563-025-02463-9,B,unassigned
197,doi:10.1038/s41563-025-02473-7,A,unassigned
197,doi:10.1038/s41563-025-02473-7,B,unassigned
198,doi:10.1038/s42003-019-0514-3,A,unassigned
198,doi:10.1038/s42003-019-0514-3,B,unassigned
199,doi:10.1038/srep08499,A,unassigned
199,doi:10.1038/srep08499,B,unassigned
200,doi:10.1073/pnas.2521253123,A,unassigned
200,doi:10.1073/pnas.2521253123,B,unassigned
201,doi:10.1126/sciadv.abb8471,A,unassigned
201,doi:10.1126/sciadv.abb8471,B,unassigned
202,doi:10.1155/2019/5150634,A,unassigned
202,doi:10.1155/2019/5150634,B,unassigned
203,doi:10.1242/bio.201410132,A,unassigned
203,doi:10.1242/bio.201410132,B,unassigned
204,doi:10.1371/journal.pone.0053702,A,unassigned
204,doi:10.1371/journal.pone.0053702,B,unassigned
205,doi:10.1371/journal.pone.0057706,A,unassigned
205,doi:10.1371/journal.pone.0057706,B,unassigned
206,doi:10.1371/journal.pone.0170312,A,unassigned
206,doi:10.1371/journal.pone.0170312,B,unassigned
207,doi:10.1371/journal.ppat.1003590,A,unassigned
207,doi:10.1371/journal.ppat.1003590,B,unassigned
208,doi:10.3390/gels11080642,A,unassigned
208,doi:10.3390/gels11080642,B,unassigned
209,doi:10.1002/advs.202502074,A,unassigned
209,doi:10.1002/advs.202502074,B,unassigned
210,doi:10.1007/s10544-009-9384-7,A,unassigned
210,doi:10.1007/s10544-009-9384-7,B,unassigned
211,doi:10.1016/j.isci.2025.112676,A,unassigned
211,doi:10.1016/j.isci.2025.112676,B,unassigned
212,doi:10.1038/ncb2859,A,unassigned
212,doi:10.1038/ncb2859,B,unassigned
213,doi:10.1038/ncomms13119,A,unassigned
213,doi:10.1038/ncomms13119,B,unassigned
214,doi:10.1038/ncomms14122,A,unassigned
214,doi:10.1038/ncomms14122,B,unassigned
215,doi:10.1038/s41598-019-42077-1,A,unassigned
215,doi:10.1038/s41598-019-42077-1,B,unassigned
216,doi:10.1038/s42003-026-10022-4,A,unassigned
216,doi:10.1038/s42003-026-10022-4,B,unassigned
217,doi:10.1038/srep36570,A,unassigned
217,doi:10.1038/srep36570,B,unassigned
218,doi:10.1073/pnas.2417290122,A,unassigned
218,doi:10.1073/pnas.2417290122,B,unassigned
219,doi:10.1093/nar/gkt245,A,unassigned
219,doi:10.1093/nar/gkt245,B,unassigned
220,doi:10.1128/mbio.03917-25,A,unassigned
220,doi:10.1128/mbio.03917-25,B,unassigned
221,doi:10.1161/jaha.119.013673,A,unassigned
221,doi:10.1161/jaha.119.013673,B,unassigned
222,doi:10.1186/s12860-025-00563-7,A,unassigned
222,doi:10.1186/s12860-025-00563-7,B,unassigned
223,doi:10.1186/s12935-019-1015-7,A,unassigned
223,doi:10.1186/s12935-019-1015-7,B,unassigned
224,doi:10.1186/s12935-026-04322-2,A,unassigned
224,doi:10.1186/s12935-026-04322-2,B,unassigned
225,doi:10.1242/bio.021378,A,unassigned
225,doi:10.1242/bio.021378,B,unassigned
226,doi:10.1371/journal.pone.0013847,A,unassigned
226,doi:10.1371/journal.pone.0013847,B,unassigned
227,doi:10.1371/journal.pone.0044806,A,unassigned
227,doi:10.1371/journal.pone.0044806,B,unassigned
228,doi:10.1371/journal.pone.0074923,A,unassigned
228,doi:10.1371/journal.pone.0074923,B,unassigned
229,doi:10.1371/journal.pone.0086110,A,unassigned
229,doi:10.1371/journal.pone.0086110,B,unassigned
230,doi:10.1371/journal.pone.0182825,A,unassigned
230,doi:10.1371/journal.pone.0182825,B,unassigned
231,doi:10.15252/embj.201899016,A,unassigned
231,doi:10.15252/embj.201899016,B,unassigned
232,doi:10.3389/fbioe.2020.00346,A,unassigned
232,doi:10.3389/fbioe.2020.00346,B,unassigned
233,doi:10.3389/fcell.2021.624089,A,unassigned
233,doi:10.3389/fcell.2021.624089,B,unassigned
234,doi:10.3390/cells7090136,A,unassigned
234,doi:10.3390/cells7090136,B,unassigned
235,doi:10.1002/advs.202401127,A,unassigned
235,doi:10.1002/advs.202401127,B,unassigned
236,doi:10.1016/j.cell.2020.03.052,A,unassigned
236,doi:10.1016/j.cell.2020.03.052,B,unassigned
237,doi:10.1016/j.jhepr.2020.100145,A,unassigned
237,doi:10.1016/j.jhepr.2020.100145,B,unassigned
238,doi:10.1016/j.xpro.2026.104632,A,unassigned
238,doi:10.1016/j.xpro.2026.104632,B,unassigned
239,doi:10.1038/ncb3605,A,unassigned
239,doi:10.1038/ncb3605,B,unassigned
240,doi:10.1038/ncomms8159,A,unassigned
240,doi:10.1038/ncomms8159,B,unassigned
241,doi:10.1038/s41467-026-71194-5,A,unassigned
241,doi:10.1038/s41467-026-71194-5,B,unassigned
242,doi:10.1038/s41556-025-01767-x,A,unassigned
242,doi:10.1038/s41556-025-01767-x,B,unassigned
243,doi:10.1038/s41586-026-10648-8,A,unassigned
243,doi:10.1038/s41586-026-10648-8,B,unassigned
244,doi:10.1038/s41598-018-29817-5,A,unassigned
244,doi:10.1038/s41598-018-29817-5,B,unassigned
245,doi:10.1038/s41598-019-52926-8,A,unassigned
245,doi:10.1038/s41598-019-52926-8,B,unassigned
246,doi:10.1038/s42003-020-01540-w,A,unassigned
246,doi:10.1038/s42003-020-01540-w,B,unassigned
247,doi:10.1038/s42003-025-09328-6,A,unassigned
247,doi:10.1038/s42003-025-09328-6,B,unassigned
248,doi:10.1038/s42255-025-01332-8,A,unassigned
248,doi:10.1038/s42255-025-01332-8,B,unassigned
249,doi:10.1038/srep23412,A,unassigned
249,doi:10.1038/srep23412,B,unassigned
250,doi:10.1080/19491034.2025.2486816,A,unassigned
250,doi:10.1080/19491034.2025.2486816,B,unassigned
251,doi:10.1083/jcb.201210152,A,unassigned
251,doi:10.1083/jcb.201210152,B,unassigned
252,doi:10.1083/jcb.201902057,A,unassigned
252,doi:10.1083/jcb.201902057,B,unassigned
253,doi:10.1093/nar/gkac234,A,unassigned
253,doi:10.1093/nar/gkac234,B,unassigned
254,doi:10.1096/fj.13-247635,A,unassigned
254,doi:10.1096/fj.13-247635,B,unassigned
255,doi:10.1126/sciadv.aba6505,A,unassigned
255,doi:10.1126/sciadv.aba6505,B,unassigned
256,doi:10.1186/s12964-026-02809-z,A,unassigned
256,doi:10.1186/s12964-026-02809-z,B,unassigned
257,doi:10.1242/bio.019703,A,unassigned
257,doi:10.1242/bio.019703,B,unassigned
258,doi:10.3390/cells8050427,A,unassigned
258,doi:10.3390/cells8050427,B,unassigned
259,doi:10.34133/research.1121,A,unassigned
259,doi:10.34133/research.1121,B,unassigned
260,doi:10.7554/elife.18207,A,unassigned
260,doi:10.7554/elife.18207,B,unassigned
261,doi:10.1002/advs.202413376,A,unassigned
261,doi:10.1002/advs.202413376,B,unassigned
262,doi:10.1007/s00125-026-06683-9,A,unassigned
262,doi:10.1007/s00125-026-06683-9,B,unassigned
