priority_score,manifest_id,provider,accession,access_state,gold_candidate_source_count,source_count,target_modality_hints,download_policy,raw_download_status
152,dataset:4db6fad301186bd2,GEO,GSE230282,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:6c9a6082c1ed0d78,GEO,GSE30219,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:228c558e01012ef1,GEO,GSE33113,public_metadata_unresolved,2,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:7e9df59f37e606e8,GEO,GSE37745,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:44d93d3363b7c1a7,GEO,GSE37892,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:236b5508bdcce98f,GEO,GSE62232,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:858a4863edb1cc5c,GEO,GSE6764,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:559a5913f0be6153,GEO,GSE73721,public_metadata_unresolved,2,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:6e86fed14d3beea8,GEO,GSE7476,public_metadata_unresolved,2,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:399a82ca64d57257,GEO,GSE87304,public_metadata_unresolved,2,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:d52e9c5a90d2af2c,ArrayExpress,E-MTAB-8107,public_metadata_resolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:598053df8580d312,ArrayExpress,E-MTAB-9930,public_metadata_resolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:d8662e58a4b1fc0e,BioProject,PRJEB25042,unavailable,1,1,immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:4c9d4682e1b607eb,GEO,GSE125617,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr,metadata_then_manual_file_selection,not_attempted
151,dataset:4e1fa82b8c1cd1ed,GEO,GSE129218,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv,metadata_then_manual_file_selection,not_attempted
151,dataset:7df2966822fb612c,GEO,GSE131833,public_metadata_resolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:6fe642e5a78f63a5,GEO,GSE140054108,public_metadata_unresolved,1,1,afm;flow_cytometry;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:bbc7bd74ecaa00d4,GEO,GSE146771,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:f0aff0a7da061146,GEO,GSE153020,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:880a8318705041d6,GEO,GSE158927,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:8d6f7f9f2de5f6de,GEO,GSE161322,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:83985f3c56719137,GEO,GSE161434,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:76d99fdec19f9e91,GEO,GSE161446,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:be9805053091ee09,GEO,GSE16256,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:983e13f2bc082081,GEO,GSE162698,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:518d9d8c0ba31d81,GEO,GSE163646,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:84007bfaa6a9eeb1,GEO,GSE166009,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:a76327917a916f30,GEO,GSE166555,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:d4231bc2e674232b,GEO,GSE176031,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:d3a02948222fc6eb,GEO,GSE202710,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:39a6a30c13f4f8f8,GEO,GSE24497,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:433c41753e3cb1f1,GEO,GSE260727,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:ed667c913fee7ad0,GEO,GSE268091,public_metadata_unresolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr,metadata_then_manual_file_selection,not_attempted
151,dataset:e897c9231e309f82,GEO,GSE292558,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:de2fab8cf4caf5f2,GEO,GSE294887,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:c5d9d0bbee77758a,GEO,GSE294966,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:3446829209ca2fd0,GEO,GSE298319,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:2c4b1a37162a6ecf,GEO,GSE299107,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:0e0032ca0eaea707,GEO,GSE305629,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:256698a7de2f87f0,GEO,GSE309233,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:be4a456e96a3faca,GEO,GSE309346,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:e6a7505cf4f89061,GEO,GSE325232,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:3e0f9ba6d34a2b9a,GEO,GSE32894,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:dc66b0cd364dc14b,GEO,GSE36878,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:8d4888acb13e3dbd,GEO,GSE38103,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:670697dcf11e26f3,GEO,GSE38548,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:4ec95eb569aa0480,GEO,GSE45006,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:0d99eca85902ad57,GEO,GSE48276,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:a68b38b15c082f12,GEO,GSE48277,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:f516e8b115bcf238,GEO,GSE50681,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:5b2787379eb10ebd,GEO,GSE61475,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:1f1b0edb772fa718,GEO,GSE61852,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:611375ab950e02f7,GEO,GSE61965,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:e4aa31891b6aaa6b,GEO,GSE62165,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:51369b462b7fd213,GEO,GSE62907,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:ae4118b651c3e409,GEO,GSE63109,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:b275d624865433db,GEO,GSE71323,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:a74ec92b62ab5fa6,GEO,GSE81861,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
151,dataset:672b24336070e5a2,GEO,GSE81996,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
